MP:0013118	swellings
MP:0014060	abnormal platelet alpha-granule morphology
MP:0002887	decreased susceptibility to pharmacologically induced seizures
MP:0000950	abnormal seizure response to pharmacological agent
MP:0000125	absent incisors
MP:0030609	decreased incisor number
HP:0041234	Fractured bone of jaw
HP:0041220	Fractured facial bone
MP:0002639	micrognathia
MP:0000454	abnormal jaw morphology
MP:0004297	abnormal proprioceptive neuron morphology
MP:0013432	decreased KLRG1-positive CD4-positive, CD25-positive, alpha-beta regulatory T cell number
MP:0010169	decreased CD4-positive, CD25-positive, alpha-beta regulatory T cell number
HP:0002608	Celiac disease
HP:0012761	Absent mastoid
HP:0000264	Abnormality of the mastoid
MP:0000956	decreased spinal cord size
MP:0002285	abnormal tracheal ciliated epithelium morphology
HP:0031557	Reduced fibroblast CD55 level
HP:0031552	Reduced fibroblast surface marker level
HP:0410214	Hypercapnia in cord blood
HP:0500258	Abnormal carbon dioxide level in cord blood
HP:0009981	Partial duplication of the distal phalanx of the 4th finger
HP:0009975	Duplication of the distal phalanx of the 4th finger
MP:0009974	decreased cerebral cortex pyramidal cell number
HP:0040314	Blind vagina
HP:0011074	Localized hypoplasia of dental enamel
HP:0010378	Triangular shaped phalanges of the 4th toe
HP:0010030	Osteolytic defects of the 1st metacarpal
HP:0031582	Tessier number 10 facial cleft
MP:0008793	abnormal lens epithelium apoptosis
HP:0030865	Large elbow
HP:0009395	Cone-shaped epiphyses of the 4th finger
HP:0010230	Cone-shaped epiphyses of the phalanges of the hand
HP:0001642	Pulmonic stenosis
MP:0012180	abnormal somatic mesoderm morphology
MP:0010117	abnormal lateral plate mesoderm morphology
MP:0011481	anterior iris synechia
MP:0001312	abnormal cornea morphology
MP:0002619	abnormal lymphocyte morphology
HP:0008480	Cervical spondylosis
HP:0000180	Lobulated tongue
HP:0005289	Abnormality of the nasolabial region
HP:0032869	Focal non-convulsive status epilepticus without impairment of consciousness
HP:0032673	Focal non-convulsive status epilepticus without coma
HP:0033449	Decreased mid-arm muscle circumference
HP:0001457	Abnormality of the musculature of the upper arm
MP:0008646	abnormal circulating interleukin-12b level
HP:0030360	Large cell lung carcinoma
MP:0002583	absent extraembryonic ectoderm
MP:0010736	abnormal extraembryonic ectoderm morphology
MP:0004759	decreased mitotic index
MP:0004046	abnormal mitosis
MP:0013669	decreased Ly6C-positive immature NK cell number
MP:0013666	decreased immature NK cell number
HP:0002344	Progressive neurologic deterioration
HP:0009284	Abnormality of the proximal phalanx of the 4th finger
HP:0002155	Hypertriglyceridemia
HP:0003077	Hyperlipidemia
HP:0001445	Abnormality of the hip-girdle musculature
HP:0001469	Abnormal morphology of the pelvis musculature
MP:0014025	decreased subchondral bone mineral content
MP:0010124	decreased bone mineral content
MP:0002870	decreased anti-insulin autoantibody level
MP:0003726	decreased autoantibody level
MP:0000445	short snout
MP:0030190	small snout
MP:0005599	increased cardiac muscle contractility
MP:0002972	abnormal cardiac muscle contractility
HP:0007497	Focal friction-related palmoplantar hyperkeratosis
HP:0006224	Tapering pointed ends of distal finger phalanges
HP:0009884	Tapered distal phalanges of finger
HP:0011646	Juxtaductal coarctation of the aorta
HP:0012305	Coarctation of the descending aortic arch
HP:0100377	Aplasia/hypoplasia of the proximal phalanx of the 5th toe
HP:0010394	Abnormal morphology of the proximal phalanx of the 5th toe
HP:0032137	Decreased circulating IgG3 level
HP:0000642	Red-green dyschromatopsia
HP:0012162	Common carotid artery dissection
HP:0012158	Carotid artery dissection
HP:0033301	Elevated circulating 1-methylhistidine concentration
MP:0010674	increased activation-induced B cell apoptosis
MP:0008698	abnormal interleukin-4 secretion
MP:0008568	abnormal interleukin secretion
MP:0009062	impaired lectin complement pathway
HP:0030354	Abnormal serum interferon level
HP:0012100	Abnormal circulating creatinine concentration
HP:0004364	Abnormal circulating nitrogen compound concentration
HP:0025598	Inferior oblique muscle weakness
HP:0025596	Abnormal inferior oblique muscle physiology
MP:0008710	abnormal interleukin-9 secretion
HP:0041175	Fractured middle phalanx of pes
HP:0010183	Abnormality of the middle phalanges of the toes
HP:0009260	Triangular epiphysis of the distal phalanx of the 4th finger
HP:0006538	Recurrent bronchopulmonary infections
HP:0002205	Recurrent respiratory infections
HP:0100225	Bracket epiphysis of the proximal phalanx of the 5th toe
HP:0100078	Bracket epiphyses of the 5th toe
MP:0008454	absent retinal rod cells
MP:0008453	decreased retinal rod cell number
HP:0000250	Dense calvaria
HP:0008669	Abnormal spermatogenesis
HP:0000025	Functional abnormality of male internal genitalia
MP:0010883	trachea stenosis
HP:0500096	Venom-induced anaphylaxis
HP:0005653	Moderate generalized osteoporosis
HP:0040160	Generalized osteoporosis
HP:0012385	Camptodactyly
HP:0030044	Flexion contracture of digit
HP:0031898	Rouleaux formation
HP:0100210	Small epiphysis of the distal phalanx of the 5th toe
MP:0010144	abnormal tumor vascularization
MP:0010639	abnormal tumor pathology
HP:0032134	Chronic decreased circulating total IgG
HP:0032132	Decreased circulating total IgG
MP:0013284	abnormal renal glomerular filtration
MP:0008273	abnormal intramembranous bone ossification
MP:0008271	abnormal bone ossification
MP:0012125	decreased bronchoconstrictive response
MP:0008874	decreased physiological sensitivity to xenobiotic
MP:0020671	decreased stria medullaris cell density
MP:0020670	abnormal stria medullaris cell density
HP:0005676	Rudimentary postaxial polydactyly of hands
HP:0001162	Postaxial hand polydactyly
MP:0000683	decreased percent water in carcass
MP:0000676	abnormal body water content
MP:0003336	pancreas cyst
MP:0030710	decreased circulating glutamine level
MP:0030708	abnormal circulating glutamine level
MP:0000801	abnormal temporal lobe morphology
MP:0008540	abnormal cerebral hemisphere morphology
HP:0001634	Mitral valve prolapse
HP:0001633	Abnormal mitral valve morphology
HP:0041152	Fractured sternoclavicular joint
MP:0006084	abnormal circulating phospholipid level
MP:0004777	abnormal phospholipid level
HP:0100948	Sclerosis of distal toe phalanx
MP:0001873	stomach inflammation
MP:0020542	increased substantia nigra size
MP:0020541	abnormal substantia nigra size
HP:0033387	Elevated circulating pyridinoline concentration
HP:0410166	Defective interstrand cross-link repair
MP:0004860	dilated kidney collecting duct
MP:0004754	abnormal kidney collecting duct morphology
MP:0002849	abnormal saccharin consumption
MP:0005449	abnormal food intake
HP:0006544	Extrapulmonary sequestrum
HP:0100632	Pulmonary sequestration
HP:0100513	Low levels of vitamin E
HP:0100514	Abnormality of vitamin E metabolism
HP:0002876	Episodic tachypnea
HP:0002789	Tachypnea
HP:0000159	Abnormal lip morphology
HP:0033653	Bronchocele
MP:0020647	decreased hippocampal fimbria cell density
MP:0020646	abnormal hippocampal fimbria cell density
MP:0008445	increased retinal cone cell number
MP:0006070	increased retinal photoreceptor cell number
MP:0010517	abnormal Bachmann's bundle morphology
MP:0010349	increased teratocarcinoma incidence
HP:0009999	Partial duplication of the phalanx of hand
MP:0020944	decreased susceptibility to Flaviviridae infection
MP:0020942	abnormal susceptibility to Flaviviridae infection
MP:0002633	persistent truncus arteriosis
MP:0010454	abnormal truncus arteriosus septation
MP:0000966	decreased sensory neuron number
MP:0005322	abnormal serotonin level
HP:0025148	Dark choroid
MP:0008227	absent anterior commissure
MP:0008225	abnormal anterior commissure morphology
MP:0030551	abnormal cementoblast number
MP:0004987	abnormal osteoblast cell number
HP:0033560	Anti-PM-Scl antibody positivity
HP:0005224	Rectal abscess
HP:0002034	Abnormal rectum morphology
MP:0010447	heart left ventricle aneurysm
MP:0003921	abnormal heart left ventricle morphology
HP:0010682	Elevated placental alkaline phosphatase
HP:0003155	Elevated circulating alkaline phosphatase concentration
HP:0031469	Low self esteem
HP:0031080	Abnormal response to glucagon stimulation test
HP:0010419	Symphalangism affecting the distal phalanx of the 2nd toe
HP:0001859	Distal foot symphalangism
HP:0007082	Dilated third ventricle
HP:0010951	Abnormal third ventricle morphology
MP:0006169	increased eyelid tumor incidence
MP:0010356	abnormal second pharyngeal arch artery morphology
MP:0006338	abnormal second pharyngeal arch morphology
HP:0025471	Congenital panfollicular nevus
HP:0100139	Fragmentation of the epiphysis of the distal phalanx of the 3rd toe
MP:0001742	absent circulating adrenaline
MP:0005400	abnormal vitamin level
HP:0009973	Complete duplication of the phalanges of the 4th finger
HP:0033912	Cortical radial artery medial atrophy
MP:0012620	abnormal circulating factor XIII level
HP:0000276	Long face
HP:0100729	Large face
HP:0033822	Mass on thoracic imaging
HP:0007646	Absent lower eyelashes
HP:0000561	Absent eyelashes
MP:0005335	abnormal gonadal fat pad morphology
HP:0033837	Abnormal arcuate artery morphology
HP:0033836	Abnormal intrarenal artery morphology
HP:0001890	Autoimmune hemolytic anemia
HP:0009562	Patchy sclerosis of the distal phalanx of the 2nd finger
HP:0033871	Medullary peritubular capillary lumen organized thrombi
HP:0033868	Abnormal medullary peritubular capillary lumen morphology
MP:0010372	throat cyst
HP:0008469	Cervical vertebral dysplasia
MP:0006050	pulmonary fibrosis
HP:0009385	Enlarged epiphyses of the 5th finger
HP:0006389	Limited knee flexion
HP:0100478	Symphalangism affecting the distal phalanx of the 5th toe
HP:0007715	Weak extraocular muscles
HP:0000597	Ophthalmoparesis
MP:0011584	increased alkaline phosphatase activity
MP:0001145	abnormal male reproductive system morphology
HP:0003025	Metaphyseal irregularity
HP:0000944	Abnormality of the metaphysis
HP:0040039	Onycholysis of fingernails
HP:0033796	Abnormal leukocyte physiology
HP:0011032	Abnormality of fluid regulation
MP:0009662	abnormal uterine receptivity
MP:0004014	abnormal uterine environment
HP:0007902	Vitreous hemorrhage
HP:0011885	Hemorrhage of the eye
HP:0100874	Thick hair
HP:0100117	Ivory epiphysis of the middle phalanx of the 2nd toe
HP:0009436	Triangular shaped middle phalanx of the 3rd finger
MP:0003617	urinary bladder hypoplasia
HP:0040110	Morphological abnormality of the saccule
HP:0011380	Morphological abnormality of the semicircular canal
HP:0007011	Fourth cranial nerve palsy
HP:0006824	Cranial nerve paralysis
HP:0012725	Cutaneous syndactyly
MP:0009988	abnormal cerebellum vermis lobule I morphology
HP:0006812	White mater abnormalities in the posterior periventricular region
HP:0500157	Hypoasparaginemia
HP:0500155	Abnormal circulating asparagine concentration
MP:0008175	absent follicular B cells
MP:0030750	increased circulating leucine level
MP:0009240	elongated sperm flagellum
HP:0033990	Cartilaginous tracheobronchomalacia
HP:0002786	Tracheobronchomalacia
HP:0010085	Aplasia/Hypoplasia of the proximal phalanx of the hallux
HP:0033738	Primary vesicoureteral reflux
HP:0004562	Beaking of vertebral bodies T12-L3
HP:0004568	Beaking of vertebral bodies
HP:0000800	Cystic renal dysplasia
MP:0003113	small parathyroid gland
HP:0010154	Irregular epiphysis of the 1st metatarsal
HP:0032790	Focal impaired awareness behavior arrest seizure
HP:0011146	Dialeptic seizure
HP:0100950	Decreased 3-hydroxyacyl-CoA dehydrogenase level
MP:0006268	absent cardiac desmosomes
MP:0011884	absent colon
MP:0011726	ectopic Cajal-Retzius cell
HP:0002611	Cholestatic liver disease
HP:0012157	Subcortical cerebral atrophy
HP:0007369	Atrophy/Degeneration affecting the cerebrum
MP:0013213	abnormal embryonic neuroepithelium primary cilium morphology
MP:0004261	abnormal embryonic neuroepithelium morphology
HP:0004255	Small trapezium
HP:0004252	Abnormality of the trapezium
HP:0001748	Polysplenia
MP:0005659	decreased susceptibility to diet-induced obesity
MP:0000939	decreased motor neuron number
MP:0000937	abnormal motor neuron morphology
HP:0006790	Cerebral cortex with spongiform changes
HP:0100132	Triangular epiphysis of the proximal phalanx of the 2nd toe
HP:0100054	Triangular epiphyses of the 2nd toe
MP:0012707	incomplete caudal neuropore closure
MP:0003720	abnormal neural tube closure
MP:0009667	abnormal embryo invasion
MP:0009505	abnormal mammary gland lobule morphology
MP:0030934	decreased primordial germ cell proliferation
MP:0008390	abnormal primordial germ cell proliferation
HP:0001215	Camptodactyly of 2nd-5th fingers
MP:0011162	abnormal wet-to-dry lung weight ratio
MP:0005629	abnormal lung weight
MP:0013978	abnormal carotid artery origin
HP:0002301	Hemiplegia
HP:0004374	Hemiplegia/hemiparesis
HP:0008344	Elevated plasma branched chain amino acids
HP:0010892	Abnormal circulating branched chain amino acid concentration
HP:0011985	Acholic stools
HP:0100645	Cystocele
HP:0031607	Pelvic organ prolapse
HP:0100560	Upper limb asymmetry
HP:0100555	Asymmetric growth
HP:0011977	Elevated urinary homovanillic acid
HP:0031246	Nonproductive cough
HP:0009673	Stippling of the epiphysis of the proximal phalanx of the thumb
HP:0410259	Hepatopulmonary fusion
HP:0000609	Optic nerve hypoplasia
HP:0008058	Aplasia/Hypoplasia of the optic nerve
MP:0030903	small ulnar styloid process
MP:0030902	abnormal ulnar styloid process morphology
HP:0030437	Anal canal neoplasm
HP:0009560	Curved distal phalanx of the 2nd finger
MP:0003725	increased autoantibody level
MP:0001844	autoimmune response
HP:0005999	Ureteral atresia
HP:0025633	Abnormal ureter morphology
HP:0010743	Short metatarsal
MP:0011431	increased urine flow rate
HP:0009282	Abnormality of the distal phalanx of the 4th finger
HP:0008050	Abnormality of the palpebral fissures
HP:0010307	Stridor
HP:0011953	Pulmonary lymphoma
HP:0002665	Lymphoma
MP:0008789	abnormal olfactory epithelium morphology
MP:0004524	short cochlear hair cell stereocilia
HP:0004878	Intercostal muscle weakness
MP:0012090	midbrain hypoplasia
MP:0010208	prognathia
HP:0033847	Phantageusia
HP:0000223	Abnormality of taste sensation
MP:0001407	short stride length
MP:0012690	abnormal stride length
HP:0001048	Cavernous hemangioma
HP:0033269	Glomerular capillary collapse
HP:0003138	Increased blood urea nitrogen
HP:0031970	Abnormal blood urea nitrogen concentration
MP:0004107	abnormal thoracic duct morphology
HP:0001596	Alopecia
HP:0002835	Aspiration
HP:0010528	Prosopagnosia
HP:0030682	Left ventricular noncompaction
HP:0001662	Bradycardia
HP:0004313	Decreased circulating antibody level
HP:0000613	Photophobia
HP:0002110	Bronchiectasis
HP:0200067	Recurrent spontaneous abortion
HP:0002912	Methylmalonic acidemia
HP:0003677	Slowly progressive
MP:0000819	abnormal olfactory bulb morphology
MP:0009944	abnormal olfactory lobe morphology
HP:0100335	Non-midline cleft lip
MP:0020240	increased skeletal muscle cell apoptosis
MP:0020239	abnormal skeletal muscle cell apoptosis
HP:0000989	Pruritus
HP:0002247	Duodenal atresia
MP:0008743	decreased liver iron level
HP:0011791	Inactivating thyroid-stimulating hormone receptor defect
HP:0011789	Impaired sensitivity to thyroid stimulating hormone
MP:0005424	jerky movement
HP:0009934	Supernumerary naris
HP:0009013	Congenital absence of gluteal muscles
HP:0001471	Aplasia/Hypoplasia of the musculature of the pelvis
HP:0003832	Abnormality of the tibial plateaux
HP:0032524	Long thumb
MP:0013977	symmetric azygos veins
MP:0013817	absent nasal cavity
MP:0002237	abnormal nasal cavity morphology
HP:0001076	Glabellar hemangioma
MP:0003979	increased circulating carnitine level
MP:0003977	abnormal circulating carnitine level
HP:0007402	Areas of hypopigmentation and hyperpigmentation that do not follow Blaschko lines
HP:0009123	Mixed hypo- and hyperpigmentation of the skin
HP:0006379	Proximal tibial hypoplasia
HP:0005736	Short tibia
HP:0009831	Mononeuropathy
MP:0010630	abnormal cardiac muscle tissue morphology
HP:0000845	Elevated circulating growth hormone concentration
HP:0032367	Abnormal growth hormone level
MP:0012791	absent rhombomere 2
MP:0012788	abnormal rhombomere 2 morphology
MP:0006046	atrioventricular valve regurgitation
MP:0009384	cardiac valve regurgitation
HP:0008708	Partial development of the penile shaft
HP:0000661	Palpebral fissure narrowing on adduction
HP:0000581	Blepharophimosis
HP:0031629	Impaired tandem gait
MP:0013323	abnormal ampullary gland morphology
MP:0013330	abnormal male accessory sex gland morphology
MP:0010992	increased surfactant secretion
MP:0004780	abnormal surfactant secretion
HP:0012716	Moderate conductive hearing impairment
HP:0012713	Moderate hearing impairment
HP:0031320	Cardiomyocyte mitochondrial proliferation
MP:0012222	decreased circulating prothrombin level
MP:0012221	abnormal circulating prothrombin level
MP:0009363	abnormal secondary ovarian follicle morphology
HP:0009547	Broad phalanges of the 2nd finger
HP:0008647	Pubertal developmental failure in females
HP:0012131	Abnormal number of erythroid precursors
MP:0003615	urinary bladder diverticulum
MP:0000730	increased satellite cell number
MP:0030733	decreased gamma-aminobutyric acid level
MP:0030731	abnormal gamma-aminobutyric acid level
HP:0009394	Bracket epiphyses of the 4th finger
HP:0009174	Abnormality of the epiphyses of the 4th finger
MP:0010326	malleus hypoplasia
MP:0011937	shortened PP interval
MP:0030726	abnormal circulating valine level
MP:0030723	abnormal valine level
HP:0006136	Bilateral postaxial polydactyly
MP:0000054	delayed ear emergence
HP:0012208	Immotile sperm
HP:0012206	Abnormal sperm motility
HP:0030858	Addictive behavior
HP:0031830	Pinguecula
MP:0002621	delayed neural tube closure
MP:0009885	abnormal palatal shelf elevation
MP:0009890	cleft secondary palate
HP:0025349	Limbal edema
HP:0025348	Abnormality of the corneal limbus
MP:0012264	hindbrain hypoplasia
MP:0012263	decreased hindbrain size
MP:0010425	abnormal heart and great vessel attachment
HP:0010746	Hypoplasia of the phalanges of the toes
MP:0002579	disorganized secondary lens fibers
MP:0002840	abnormal lens fiber morphology
MP:0013533	sublingual gland inflammation
MP:0013536	abnormal sublingual gland physiology
HP:0005927	Aplasia/hypoplasia involving bones of the hand
HP:0000050	Hypoplastic male external genitalia
HP:0003241	External genital hypoplasia
MP:0003914	decreased heart right ventricle weight
MP:0003649	decreased heart right ventricle size
HP:0033298	Abnormal circulating complement factor H related protein 1 concentration
HP:0004237	Large carpal bones
MP:0012194	decreased keratinocyte migration
MP:0012192	abnormal keratinocyte migration
MP:0006170	increased eyelid myxoma incidence
MP:0003391	increased myxoma incidence
MP:0000417	short hair
HP:0008687	Hypoplasia of the prostate
MP:0011413	colorless urine
MP:0003619	abnormal urine color
HP:0010967	Abnormal circulating carnitine concentration
HP:0010966	Abnormal circulating fatty-acid anion concentration
MP:0000060	delayed bone ossification
MP:0005466	abnormal T-helper 2 physiology
MP:0005463	abnormal CD4-positive, alpha-beta T cell physiology
MP:0009527	abnormal sublingual duct morphology
MP:0004035	abnormal sublingual gland morphology
MP:0020314	decreased palmitoyl-(protein) hydrolase activity
HP:0040122	Impairment of the the acoustic reflex
HP:0040121	Abnormality of the acoustic reflex
MP:0005094	abnormal T cell proliferation
MP:0001828	abnormal T cell activation
MP:0010075	abnormal circulating phytosterol level
MP:0003949	abnormal circulating lipid level
HP:0030475	Abnormal timing of dark-adapted dim flash electroretinogram
HP:0030471	Abnormal dark-adapted dim flash electroretinogram
MP:0003930	abnormal tooth hard tissue morphology
MP:0009670	abnormal uterine angiogenesis
MP:0009669	abnormal postimplantation uterine environment
MP:0005293	impaired glucose tolerance
MP:0005291	abnormal glucose tolerance
MP:0000884	delaminated Purkinje cell layer
MP:0000875	abnormal cerebellar Purkinje cell layer
HP:0030426	Ossifying fibroma
HP:0010614	Fibroma
HP:0009591	Abnormality of the vestibulocochlear nerve
MP:0013299	decreased susceptibility to colitis induced morbidity/mortality
MP:0008539	decreased susceptibility to induced colitis
HP:0002946	Supernumerary vertebrae
HP:0009144	Supernumerary bones of the axial skeleton
MP:0010525	abdominal aorta coarctation
MP:0003387	aorta coarctation
HP:0020167	Hemiretinal vein occlusion
HP:0012636	Retinal vein occlusion
HP:0200017	Cerebral white matter agenesis
HP:0009243	Patchy sclerosis of the distal phalanx of the 5th finger
MP:0009673	increased birth weight
HP:0100916	Sclerosis of middle finger phalanx
HP:0006527	Lymphocytic interstitial pneumonia
HP:0011145	Symptomatic seizures
HP:0000629	Periorbital fullness
HP:0030218	Punding
MP:0009635	enlarged popliteal lymph nodes
MP:0002352	abnormal popliteal lymph node morphology
MP:0012632	increased kidney glutathione reductase level
MP:0012630	increased glutathione reductase level
HP:0007334	Bilateral tonic-clonic seizure with focal onset
HP:0007359	Focal-onset seizure
MP:0000837	abnormal hypothalamus morphology
MP:0001661	extended life span
MP:0030774	abnormal ischiofemoral ligament morphology
HP:0025392	Nodular pattern on pulmonary HRCT
HP:0030834	Shoulder pain
MP:0000030	abnormal tympanic ring morphology
MP:0002738	hyperresponsive to tactile stimuli
MP:0005316	abnormal response to tactile stimuli
MP:0005399	increased susceptibility to fungal infection
MP:0020183	abnormal susceptibility to fungal infection
HP:0011054	Agenesis of molar
HP:0011077	Abnormality of molar
HP:0010919	Abnormal circulating homocysteine concentration
HP:0006398	Flat distal femoral epiphysis
HP:0009406	Patchy sclerosis of 4th finger phalanx
MP:0013277	abnormal fasting circulating glucose level
HP:0033124	Increased serum sorbitol concentration
HP:0005592	Giant melanosomes in melanocytes
MP:0004846	absent skeletal muscle
MP:0009939	abnormal hippocampus neuron morphology
HP:0009660	Short phalanx of the thumb
HP:0011632	Partial right sided absence of pericardium
HP:0011628	Congenital defect of the pericardium
MP:0000069	kyphoscoliosis
MP:0000160	kyphosis
HP:0033236	Cognitive fatigue
MP:0005194	abnormal anterior uvea morphology
MP:0030753	decreased choline level
MP:0010825	abnormal lung saccule morphology
MP:0001176	abnormal lung development
MP:0000751	myopathy
HP:0004689	Short fourth metatarsal
HP:0040035	Abnormality of the fourth metatarsal bone
MP:0020148	abnormal sensitivity to induced morbidity/mortality
HP:0008797	Early ossification of capital femoral epiphyses
MP:0020415	abnormal fibroblast chemotaxis
MP:0020630	increased hippocampus cell number
HP:0025246	Trichilemmal cyst
HP:0025245	Cutaneous cyst
MP:0005312	pericardial effusion
MP:0000288	abnormal pericardium morphology
HP:0007840	Long upper eyelashes
MP:0005376	homeostasis/metabolism phenotype
HP:0000930	Elevated imprint of the transverse sinuses
HP:0002693	Abnormality of the skull base
HP:0001528	Hemihypertrophy
MP:0009382	abnormal cardiac jelly morphology
MP:0000267	abnormal heart development
MP:0011441	decreased kidney cell proliferation
MP:0005206	abnormal aqueous humor
MP:0005205	abnormal eye anterior chamber morphology
MP:0010390	increased adrenocortical adenoma incidence
MP:0010366	increased adrenal cortical tumor incidence
HP:0041192	Fractured epiphysis of fourth metacarpal bone
HP:0041147	Fractured epiphysis
MP:0011324	abnormal kidney vasa recta morphology
HP:0031036	Reduced growth-hormone binding protein level
HP:0010881	Abnormality of the umbilical cord
HP:0005928	Synostosis involving the fibula
MP:0009785	abnormal susceptibility to infection induced morbidity/mortality
MP:0020105	increased nitrate level
MP:0020104	abnormal nitrate level
HP:0500147	Hypoglutaminemia
HP:0010903	Abnormal circulating glutamine concentration
MP:0002905	decreased circulating parathyroid hormone level
MP:0002903	abnormal circulating parathyroid hormone level
HP:0030833	Neck pain
HP:0046506	Pain in head and neck region
HP:0009546	Triangular shaped phalanges of the 2nd finger
MP:0008603	decreased circulating interleukin-4 level
MP:0008601	abnormal circulating interleukin-4 level
MP:0012534	abnormal optic fissure morphology
HP:0008237	Hypothalamic hypothyroidism
HP:0011787	Central hypothyroidism
HP:0000890	Long clavicles
HP:0000889	Abnormal clavicle morphology
MP:0030274	maxillary retrognathia
MP:0004282	retrognathia
HP:0020202	Abnormal Z disc morphology
MP:0011302	abnormal extraglomerular mesangial cell morphology
MP:0011340	abnormal extraglomerular mesangium morphology
MP:0010685	abnormal hair follicle inner root sheath morphology
HP:0009539	Contracture of the metacarpophalangeal joint of the 2nd finger
HP:0009537	Flexion contracture of the 2nd finger
MP:0030663	abnormal arginine level
MP:0013801	abnormal subscapular fat pad morphology
HP:0011388	Enlarged cochlear aqueduct
HP:0033496	Perihilar segmental glomerulosclerosis
MP:0011013	bronchiolectasis
HP:0025601	Inferior rectus muscle weakness
HP:0025600	Abnormal inferior rectus muscle physiology
HP:0033929	Arcuate artery endoarterial neutrophil hypercellularity
HP:0033927	Arcuate artery endoarterial leukocyte hypercellularity
MP:0006193	conjunctival telangiectasia
MP:0004175	telangiectases
HP:0003163	Elevated urinary delta-aminolevulinic acid
MP:0006324	abnormal cochlear nerve fiber response
HP:0100044	Absent epiphyses of the 2nd toe
MP:0013430	increased memory CD4-positive, CD25-positive, alpha-beta regulatory T cell number
MP:0010168	increased CD4-positive, CD25-positive, alpha-beta regulatory T cell number
HP:0030650	Focal
MP:0020211	slow movement
HP:0033663	Air trapping
MP:0005011	increased eosinophil cell number
MP:0002602	abnormal eosinophil cell number
MP:0005498	hyporesponsive to tactile stimuli
MP:0030716	decreased circulating isoleucine level
MP:0030713	decreased isoleucine level
HP:0007302	Bipolar affective disorder
HP:0100735	Hypertensive crisis
MP:0030643	abnormal circulating methionine level
MP:0010664	abnormal vitelline artery morphology
HP:0012757	Abnormal neuron morphology
MP:0004279	abnormal rostral migratory stream morphology
MP:0002739	abnormal olfactory bulb development
HP:0002329	Drowsiness
HP:0033722	Autonomic epileptic aura
HP:0011154	Focal autonomic seizure
MP:0009286	increased abdominal fat pad weight
HP:0100500	Fibular deviation of toes
HP:0100498	Deviation of toes
HP:0006773	Cutaneous angiolipomas
HP:0004617	Butterfly vertebral arch
HP:0008438	Vertebral arch anomaly
MP:0020958	abnormal c-wave implicit time
MP:0012033	abnormal ERG implicit time
HP:0010815	Nevus sebaceous
HP:0011345	Moderate expressive language delay
MP:0009439	increased myeloid sarcoma incidence
MP:0002032	increased sarcoma incidence
MP:0030339	absent second pharyngeal arch artery
HP:0009262	Bracket epiphysis of the proximal phalanx of the 4th finger
HP:0010269	Bracket epiphyses of the proximal phalanges of the hand
MP:0008818	abnormal interfrontal bone morphology
HP:0033791	Tooth ankylosis
HP:0006482	Abnormality of dental morphology
MP:0012425	decreased respiratory system tumor incidence
HP:0009731	Cerebral hamartoma
HP:0025616	Sterile abscess
MP:0002065	abnormal fear/anxiety-related behavior
HP:0003848	Cupped metaphyses of the upper limbs
HP:0003551	Difficulty climbing stairs
HP:0005209	Intrahepatic bile duct cysts
MP:0030276	anterior cranium occultum
MP:0009262	absent semicircular canal ampulla
MP:0008488	abnormal semicircular canal ampulla morphology
HP:0032387	Reduced circulating transferrin concentration
HP:0032385	Abnormal circulating transferrin concentration
HP:0000723	Restrictive behavior
MP:0010247	increased intestine copper level
MP:0010246	abnormal intestine copper level
HP:0030095	Reduced muscle collagen VI
HP:0011657	Double outlet right ventricle with subpulmonary ventricular septal defect and pulmonary stenosis
HP:0007732	Lacrimal gland hypoplasia
HP:0008038	Aplastic/hypoplastic lacrimal glands
HP:0002783	Recurrent lower respiratory tract infections
MP:0009676	abnormal hemostasis
MP:0008096	abnormal plasma cell number
MP:0002439	abnormal plasma cell morphology
MP:0008301	adrenal medulla hyperplasia
HP:0025417	Patulous urethra
HP:0020037	Astasia
MP:0004792	abnormal synaptic vesicle number
MP:0004769	abnormal synaptic vesicle morphology
HP:0012646	Retractile testis
MP:0011511	biventricular, ambiguous atrioventricular connection
MP:0010435	abnormal heart atrium and ventricle connection
HP:0030319	Weakness of facial musculature
MP:0003134	increased late pro-B cell number
HP:0008954	Intrinsic hand muscle atrophy
HP:0100608	Metrorrhagia
MP:0030568	abnormal H zone morphology
MP:0030566	abnormal A band morphology
MP:0006248	lagophthalmos
HP:0001074	Atypical nevi in non-sun exposed areas
HP:0011243	Abnormality of inferior crus of antihelix
MP:0002586	abnormal platelet volume
MP:0004720	abnormal platelet morphology
MP:0005070	impaired natural killer cell mediated cytotoxicity
MP:0011719	abnormal natural killer cell mediated cytotoxicity
MP:0030673	increased circulating alanine level
MP:0030672	abnormal circulating alanine level
HP:0009346	Absent epiphysis of the proximal phalanx of the 3rd finger
HP:0010268	Absent epiphyses of the proximal phalanges of the hand
HP:0410346	Increased urinary galactosylated oligosaccharide
HP:0010471	Oligosacchariduria
HP:0010349	Bullet-shaped 2nd toe phalanx
HP:0010175	Bullet-shaped toe phalanx
HP:0006358	Shovel-shaped maxillary central incisors
HP:0031773	Posterior communicating artery aneurysm
HP:0031772	Abnormal posterior circulating artery morphology
HP:0500091	Lymphangioma of the orbit
MP:0013230	abnormal cervical sinus morphology
MP:0011864	abnormal podocyte adhesion
MP:0003566	abnormal cell adhesion
MP:0013363	abnormal pineal gland development
MP:0020973	abnormal gland development
